epoch,train_loss,val_loss,helmholtz_loss
1,0.07146148,0.04348049,0.0
2,0.05076316,0.03175477,0.0
3,0.03838526,0.02440986,0.0
4,0.03011,0.01933752,0.0
5,0.02410239,0.01558594,0.0
6,0.01950914,0.01269038,0.0
7,0.01589263,0.01039951,0.0
8,0.01299998,0.00856143,0.0
9,0.0106671,0.00707476,0.0
10,0.00877743,0.00586662,0.0
11,0.00724308,0.00488195,0.0
12,0.00599548,0.00407788,0.0
13,0.00498009,0.00342042,0.0
14,0.00415311,0.00288228,0.0
15,0.00347917,0.00244146,0.0
16,0.00292962,0.00208008,0.0
17,0.00248125,0.00178362,0.0
18,0.00211518,0.00154024,0.0
19,0.0018161,0.00134025,0.0
20,0.00157155,0.00117577,0.0
21,0.00137141,0.00104034,0.0
22,0.00120743,0.00092867,0.0
23,0.00107292,0.00083646,0.0
24,0.00096242,0.00076015,0.0
25,0.00087149,0.00069687,0.0
26,0.00079652,0.00064424,0.0
27,0.00073455,0.00060033,0.0
28,0.0006832,0.00056356,0.0
29,0.00064052,0.00053263,0.0
30,0.0006049,0.00050648,0.0
31,0.00057505,0.00048426,0.0
32,0.00054992,0.00046524,0.0
33,0.00052865,0.00044885,0.0
34,0.00051052,0.00043462,0.0
35,0.00049498,0.00042217,0.0
36,0.00048155,0.00041117,0.0
37,0.00046985,0.00040137,0.0
38,0.00045958,0.00039255,0.0
39,0.00045047,0.00038456,0.0
40,0.00044232,0.00037723,0.0
41,0.00043497,0.00037047,0.0
42,0.00042827,0.00036418,0.0
43,0.00042212,0.00035827,0.0
44,0.00041642,0.0003527,0.0
45,0.00041109,0.0003474,0.0
46,0.00040609,0.00034234,0.0
47,0.00040134,0.00033747,0.0
48,0.00039682,0.00033279,0.0
49,0.0003925,0.00032825,0.0
50,0.00038833,0.00032385,0.0
51,0.00038431,0.00031956,0.0
52,0.00038041,0.00031538,0.0
53,0.00037662,0.00031129,0.0
54,0.00037293,0.00030729,0.0
55,0.00036931,0.00030336,0.0
56,0.00036578,0.00029951,0.0
57,0.00036232,0.00029573,0.0
58,0.00035891,0.00029202,0.0
59,0.00035557,0.00028836,0.0
60,0.00035229,0.00028477,0.0
61,0.00034905,0.00028123,0.0
62,0.00034586,0.00027774,0.0
63,0.00034272,0.00027431,0.0
64,0.00033963,0.00027093,0.0
65,0.00033657,0.0002676,0.0
66,0.00033356,0.00026432,0.0
67,0.00033059,0.00026108,0.0
68,0.00032766,0.00025789,0.0
69,0.00032476,0.00025475,0.0
70,0.0003219,0.00025165,0.0
71,0.00031908,0.0002486,0.0
72,0.00031629,0.00024559,0.0
73,0.00031353,0.00024262,0.0
74,0.00031081,0.0002397,0.0
75,0.00030812,0.00023682,0.0
76,0.00030547,0.00023397,0.0
77,0.00030284,0.00023117,0.0
78,0.00030025,0.00022841,0.0
79,0.00029769,0.00022569,0.0
80,0.00029516,0.00022301,0.0
81,0.00029266,0.00022036,0.0
82,0.00029019,0.00021775,0.0
83,0.00028775,0.00021518,0.0
84,0.00028533,0.00021265,0.0
85,0.00028295,0.00021015,0.0
86,0.00028059,0.00020769,0.0
87,0.00027827,0.00020527,0.0
88,0.00027596,0.00020287,0.0
89,0.00027369,0.00020052,0.0
90,0.00027144,0.00019819,0.0
91,0.00026922,0.0001959,0.0
92,0.00026703,0.00019365,0.0
93,0.00026485,0.00019142,0.0
94,0.00026271,0.00018923,0.0
95,0.00026059,0.00018707,0.0
96,0.00025849,0.00018494,0.0
97,0.00025642,0.00018284,0.0
98,0.00025438,0.00018077,0.0
99,0.00025235,0.00017873,0.0
100,0.00025035,0.00017672,0.0
101,0.00024837,0.00017474,0.0
102,0.00024642,0.00017278,0.0
103,0.00024449,0.00017086,0.0
104,0.00024257,0.00016896,0.0
105,0.00024069,0.00016709,0.0
106,0.00023882,0.00016525,0.0
107,0.00023697,0.00016343,0.0
108,0.00023515,0.00016164,0.0
109,0.00023334,0.00015988,0.0
110,0.00023156,0.00015814,0.0
111,0.00022979,0.00015643,0.0
112,0.00022805,0.00015474,0.0
113,0.00022633,0.00015307,0.0
114,0.00022462,0.00015143,0.0
115,0.00022293,0.00014981,0.0
116,0.00022127,0.00014822,0.0
117,0.00021962,0.00014665,0.0
118,0.00021799,0.0001451,0.0
119,0.00021638,0.00014357,0.0
120,0.00021478,0.00014207,0.0
121,0.00021321,0.00014059,0.0
122,0.00021165,0.00013913,0.0
123,0.0002101,0.00013769,0.0
124,0.00020858,0.00013627,0.0
125,0.00020707,0.00013487,0.0
126,0.00020558,0.00013349,0.0
127,0.00020411,0.00013213,0.0
128,0.00020265,0.00013079,0.0
129,0.0002012,0.00012947,0.0
130,0.00019978,0.00012817,0.0
131,0.00019836,0.00012689,0.0
132,0.00019697,0.00012562,0.0
133,0.00019559,0.00012438,0.0
134,0.00019422,0.00012315,0.0
135,0.00019287,0.00012194,0.0
136,0.00019153,0.00012074,0.0
137,0.00019021,0.00011957,0.0
138,0.0001889,0.00011841,0.0
139,0.00018761,0.00011727,0.0
140,0.00018633,0.00011614,0.0
141,0.00018506,0.00011503,0.0
142,0.0001838,0.00011394,0.0
143,0.00018256,0.00011286,0.0
144,0.00018134,0.00011179,0.0
145,0.00018012,0.00011075,0.0
146,0.00017892,0.00010971,0.0
147,0.00017773,0.00010869,0.0
148,0.00017656,0.00010769,0.0
149,0.00017539,0.0001067,0.0
150,0.00017424,0.00010572,0.0
151,0.0001731,0.00010476,0.0
152,0.00017197,0.00010382,0.0
153,0.00017086,0.00010288,0.0
154,0.00016975,0.00010196,0.0
155,0.00016866,0.00010105,0.0
156,0.00016758,0.00010016,0.0
157,0.00016651,9.927e-05,0.0
158,0.00016545,9.84e-05,0.0
159,0.0001644,9.755e-05,0.0
160,0.00016336,9.67e-05,0.0
161,0.00016233,9.587e-05,0.0
162,0.00016131,9.505e-05,0.0
163,0.00016031,9.424e-05,0.0
164,0.00015931,9.344e-05,0.0
165,0.00015832,9.265e-05,0.0
166,0.00015735,9.188e-05,0.0
167,0.00015638,9.111e-05,0.0
168,0.00015542,9.036e-05,0.0
169,0.00015447,8.961e-05,0.0
170,0.00015354,8.888e-05,0.0
171,0.00015261,8.816e-05,0.0
172,0.00015169,8.744e-05,0.0
173,0.00015078,8.674e-05,0.0
174,0.00014988,8.605e-05,0.0
175,0.00014898,8.536e-05,0.0
176,0.0001481,8.469e-05,0.0
177,0.00014722,8.403e-05,0.0
178,0.00014636,8.337e-05,0.0
179,0.0001455,8.272e-05,0.0
180,0.00014465,8.209e-05,0.0
181,0.00014381,8.146e-05,0.0
182,0.00014297,8.084e-05,0.0
183,0.00014215,8.023e-05,0.0
184,0.00014133,7.963e-05,0.0
185,0.00014052,7.903e-05,0.0
186,0.00013972,7.845e-05,0.0
187,0.00013892,7.787e-05,0.0
188,0.00013813,7.73e-05,0.0
189,0.00013735,7.674e-05,0.0
190,0.00013658,7.618e-05,0.0
191,0.00013582,7.564e-05,0.0
192,0.00013506,7.51e-05,0.0
193,0.00013431,7.457e-05,0.0
194,0.00013356,7.404e-05,0.0
195,0.00013283,7.353e-05,0.0
196,0.0001321,7.302e-05,0.0
197,0.00013137,7.251e-05,0.0
198,0.00013066,7.202e-05,0.0
199,0.00012995,7.153e-05,0.0
200,0.00012924,7.105e-05,0.0
